mode,K,sigma,selected_rate,oracle_rate
i.i.d. noise (plain PTRM),1,0.15,0.140625,0.140625
i.i.d. noise (plain PTRM),2,0.15,0.1796875,0.1796875
i.i.d. noise (plain PTRM),4,0.15,0.21875,0.21875
i.i.d. noise (plain PTRM),8,0.15,0.2109375,0.2109375
i.i.d. noise (plain PTRM),16,0.15,0.234375,0.234375
i.i.d. noise (plain PTRM),32,0.15,0.2890625,0.2890625
i.i.d. noise (plain PTRM),64,0.15,0.3046875,0.3046875
i.i.d. noise (plain PTRM),128,0.15,0.34375,0.34375
i.i.d. noise (plain PTRM),256,0.15,0.3515625,0.3515625
i.i.d. noise (plain PTRM),1,0.3,0.171875,0.171875
i.i.d. noise (plain PTRM),2,0.3,0.1484375,0.1484375
i.i.d. noise (plain PTRM),4,0.3,0.1875,0.1875
i.i.d. noise (plain PTRM),8,0.3,0.21875,0.21875
i.i.d. noise (plain PTRM),16,0.3,0.28125,0.28125
i.i.d. noise (plain PTRM),32,0.3,0.34375,0.34375
i.i.d. noise (plain PTRM),64,0.3,0.3125,0.3125
i.i.d. noise (plain PTRM),128,0.3,0.4375,0.4375
i.i.d. noise (plain PTRM),256,0.3,0.4375,0.4375
i.i.d. noise (plain PTRM),1,0.6,0.15625,0.15625
i.i.d. noise (plain PTRM),2,0.6,0.203125,0.203125
i.i.d. noise (plain PTRM),4,0.6,0.21875,0.21875
i.i.d. noise (plain PTRM),8,0.6,0.2265625,0.2265625
i.i.d. noise (plain PTRM),16,0.6,0.3046875,0.3046875
i.i.d. noise (plain PTRM),32,0.6,0.3359375,0.3359375
i.i.d. noise (plain PTRM),64,0.6,0.375,0.375
i.i.d. noise (plain PTRM),128,0.6,0.4375,0.4375
i.i.d. noise (plain PTRM),256,0.6,0.5390625,0.5390625
i.i.d. noise (plain PTRM),1,1.0,0.1484375,0.1484375
i.i.d. noise (plain PTRM),2,1.0,0.1875,0.1875
i.i.d. noise (plain PTRM),4,1.0,0.171875,0.171875
i.i.d. noise (plain PTRM),8,1.0,0.2578125,0.2578125
i.i.d. noise (plain PTRM),16,1.0,0.28125,0.28125
i.i.d. noise (plain PTRM),32,1.0,0.3359375,0.3359375
i.i.d. noise (plain PTRM),64,1.0,0.359375,0.359375
i.i.d. noise (plain PTRM),128,1.0,0.5,0.5
i.i.d. noise (plain PTRM),256,1.0,0.546875,0.5546875
momentum (1st order),1,0.15,0.1484375,0.1484375
momentum (1st order),2,0.15,0.1640625,0.1640625
momentum (1st order),4,0.15,0.1953125,0.1953125
momentum (1st order),8,0.15,0.21875,0.21875
momentum (1st order),16,0.15,0.2109375,0.2109375
momentum (1st order),32,0.15,0.2578125,0.2578125
momentum (1st order),64,0.15,0.28125,0.28125
momentum (1st order),128,0.15,0.2890625,0.2890625
momentum (1st order),256,0.15,0.3125,0.3125
momentum (1st order),1,0.3,0.15625,0.15625
momentum (1st order),2,0.3,0.171875,0.171875
momentum (1st order),4,0.3,0.203125,0.203125
momentum (1st order),8,0.3,0.2421875,0.2421875
momentum (1st order),16,0.3,0.25,0.25
momentum (1st order),32,0.3,0.2890625,0.2890625
momentum (1st order),64,0.3,0.3125,0.3125
momentum (1st order),128,0.3,0.3359375,0.3359375
momentum (1st order),256,0.3,0.359375,0.359375
