method,puzzle,step,q,correct
TRM (deterministic),0,1,-8.9375,False
TRM (deterministic),0,2,-10.25,False
TRM (deterministic),0,3,-10.6875,False
TRM (deterministic),0,4,-10.3125,False
TRM (deterministic),0,5,-10.5625,False
TRM (deterministic),0,6,-9.875,False
TRM (deterministic),1,1,-11.5625,True
TRM (deterministic),1,2,-7.625,True
TRM (deterministic),1,3,7.8125,True
TRM (deterministic),1,4,7.4375,True
TRM (deterministic),1,5,7.40625,True
TRM (deterministic),1,6,7.4375,True
TRM (deterministic),2,1,-11.6875,False
TRM (deterministic),2,2,-10.875,False
TRM (deterministic),2,3,-10.9375,False
TRM (deterministic),2,4,-10.875,False
TRM (deterministic),2,5,-10.75,False
TRM (deterministic),2,6,-11.0625,False
TRM (deterministic),3,1,-9.75,False
TRM (deterministic),3,2,-9.25,False
TRM (deterministic),3,3,-9.1875,False
TRM (deterministic),3,4,-9.375,False
TRM (deterministic),3,5,-9.75,False
TRM (deterministic),3,6,-9.25,False
TRM (deterministic),4,1,-6.71875,False
TRM (deterministic),4,2,-10.0625,False
TRM (deterministic),4,3,-11.25,False
TRM (deterministic),4,4,-9.25,False
TRM (deterministic),4,5,-10.6875,False
TRM (deterministic),4,6,-9.1875,False
TRM (deterministic),5,1,-8.75,False
TRM (deterministic),5,2,-4.71875,False
TRM (deterministic),5,3,-9.625,False
TRM (deterministic),5,4,-8.25,False
TRM (deterministic),5,5,-7.53125,False
TRM (deterministic),5,6,-8.4375,False
TRM (deterministic),6,1,-9.25,False
TRM (deterministic),6,2,-7.9375,False
TRM (deterministic),6,3,-8.5625,False
TRM (deterministic),6,4,-8.8125,False
TRM (deterministic),6,5,-8.6875,False
TRM (deterministic),6,6,-7.9375,False
TRM (deterministic),7,1,-10.9375,False
TRM (deterministic),7,2,-6.875,False
TRM (deterministic),7,3,-9.8125,False
TRM (deterministic),7,4,-9.9375,False
TRM (deterministic),7,5,-9.6875,False
TRM (deterministic),7,6,-9.5625,False
TRM (deterministic),8,1,-6.84375,False
TRM (deterministic),8,2,-9.375,False
TRM (deterministic),8,3,-8.4375,False
TRM (deterministic),8,4,-9.25,False
TRM (deterministic),8,5,-8.625,False
TRM (deterministic),8,6,-8.3125,False
TRM (deterministic),9,1,-7.625,True
TRM (deterministic),9,2,-8.25,True
TRM (deterministic),9,3,-9.5,True
TRM (deterministic),9,4,-7.3125,True
TRM (deterministic),9,5,6.9375,True
TRM (deterministic),9,6,6.71875,True
TRM (deterministic),10,1,-8.1875,False
TRM (deterministic),10,2,-8.4375,False
TRM (deterministic),10,3,-4.28125,False
TRM (deterministic),10,4,-4.1875,False
TRM (deterministic),10,5,-6.84375,False
TRM (deterministic),10,6,-6.09375,False
TRM (deterministic),11,1,-10.5625,False
TRM (deterministic),11,2,-9.8125,False
TRM (deterministic),11,3,-9.5,False
TRM (deterministic),11,4,-9.9375,False
TRM (deterministic),11,5,-9.9375,False
