sigma,norm_zh0,q_logit,q_prob,correct
0.0,15.999985694885254,-9.875,5.144220995134674e-05,False
0.0,15.999995231628418,7.4375,0.9994115829467773,True
0.0,15.99998950958252,-11.0625,1.5689549400121905e-05,False
0.0,15.999990463256836,-9.25,9.610241977497935e-05,False
0.0,15.99998950958252,-9.1875,0.00010229986219201237,False
0.0,15.999990463256836,-8.4375,0.00021654405281879008,False
0.0,15.999985694885254,-7.9375,0.0003569706459529698,False
0.0,15.999988555908203,-9.5625,7.031184941297397e-05,False
0.0,15.999990463256836,-8.3125,0.00024536947603337467,False
0.0,15.999994277954102,6.71875,0.998793363571167,True
0.0,15.999987602233887,-6.09375,0.002251847181469202,False
0.0,15.999990463256836,-9.625,6.60521473037079e-05,False
0.0,15.999992370605469,-9.25,9.610241977497935e-05,False
0.0,15.99998950958252,-8.6875,0.0001686527393758297,False
0.0,15.999987602233887,-9.9375,4.832564081880264e-05,False
0.0,15.999984741210938,-10.75,2.1444948288262822e-05,False
0.0,15.999990463256836,-8.9375,0.00013135180051904172,False
0.0,15.999987602233887,-7.5,0.000552778656128794,False
0.0,15.999987602233887,-10.0625,4.2647468944778666e-05,False
0.0,15.99998664855957,-8.375,0.00023050670279189944,False
0.0,15.999988555908203,-6.75,0.0011695103021338582,False
0.0,15.999993324279785,-10.875,1.892514956125524e-05,False
0.0,15.999994277954102,7.84375,0.9996079802513123,True
0.0,15.999985694885254,-8.8125,0.00014883848780300468,False
0.0,15.999988555908203,-9.5,7.484622619813308e-05,False
0.0,15.999991416931152,-10.25,3.535625000949949e-05,False
0.0,15.999995231628418,7.21875,0.9992678761482239,True
0.0,15.999988555908203,-10.5625,2.586742994026281e-05,False
0.0,15.999994277954102,-10.3125,3.321419353596866e-05,False
0.0,15.99998664855957,-7.21875,0.0007321811863221228,False
0.0,15.99998664855957,-9.1875,0.00010229986219201237,False
0.0,15.999987602233887,-10.3125,3.321419353596866e-05,False
0.0,15.99998664855957,-7.59375,0.000503335555549711,False
0.0,15.999990463256836,-9.0625,0.00011591933434829116,False
0.0,15.99998950958252,-9.0625,0.00011591933434829116,False
0.0,15.999990463256836,-10.5625,2.586742994026281e-05,False
0.0,15.999988555908203,-9.0,0.00012339458044152707,False
0.0,15.999992370605469,-10.1875,3.7636447814293206e-05,False
0.0,15.999987602233887,-7.9375,0.0003569706459529698,False
0.0,15.999996185302734,7.6875,0.9995417594909668,True
0.0,15.999987602233887,-6.84375,0.0010649627074599266,False
0.0,15.99998950958252,-10.6875,2.2827996872365475e-05,False
0.0,15.99998664855957,-3.65625,0.02517884224653244,False
0.0,15.99998950958252,-10.5,2.7535690605873242e-05,False
0.0,15.999991416931152,-11.625,8.939696272136644e-06,False
0.0,15.999988555908203,-9.6875,6.205049430718645e-05,False
0.0,15.999990463256836,-11.3125,1.221907587023452e-05,False
0.0,15.999995231628418,-11.25,1.3007129382458515e-05,False
0.0,15.999988555908203,-10.3125,3.321419353596866e-05,False
0.0,15.999988555908203,-6.21875,0.001987774157896638,False
0.0,15.999988555908203,-8.0,0.00033535013790242374,False
0.0,15.999996185302734,7.375,0.999373733997345,True
0.0,15.999988555908203,-9.1875,0.00010229986219201237,False
0.0,15.999995231628418,7.15625,0.999220609664917,True
0.0,15.99998664855957,-10.625,2.4300241420860402e-05,False
0.0,15.999992370605469,-10.25,3.535625000949949e-05,False
0.0,15.999990463256836,-8.9375,0.00013135180051904172,False
0.0,15.999994277954102,7.59375,0.9994966983795166,True
0.0,15.999996185302734,7.25,0.9992903470993042,True
0.0,15.999983787536621,-7.4375,0.0005884087877348065,False
0.0,15.999995231628418,7.8125,0.999595582485199,True
0.0,15.999995231628418,7.65625,0.9995272159576416,True
0.0,15.999990463256836,-10.3125,3.321419353596866e-05,False
0.0,15.999988555908203,-6.78125,0.0011335690505802631,False
0.0,15.999988555908203,-9.0625,0.00011591933434829116,False
0.0,15.999991416931152,-10.125,4.006369272246957e-05,False
0.0,15.999988555908203,-8.1875,0.0002780309587251395,False
0.0,15.999987602233887,-7.9375,0.0003569706459529698,False
0.0,15.999988555908203,-10.9375,1.7778551409719512e-05,False
0.0,15.99998950958252,-10.75,2.1444948288262822e-05,False
0.0,15.999995231628418,6.875,0.9989677667617798,True
0.0,15.999990463256836,-10.9375,1.7778551409719512e-05,False
0.0,15.999988555908203,-10.8125,2.014569145103451e-05,False
0.0,15.999990463256836,-9.4375,7.9673009167891e-05,False
0.0,15.999984741210938,-6.625,0.0013250223128125072,False
0.0,15.999990463256836,-10.625,2.4300241420860402e-05,False
0.0,15.999995231628418,7.0,0.9990890026092529,True
0.0,15.999992370605469,-11.1875,1.3846004549122881e-05,False
0.0,15.99998664855957,-7.25,0.0007096704212017357,False
0.0,15.999991416931152,-10.9375,1.7778551409719512e-05,False
0.0,15.999993324279785,-10.875,1.892514956125524e-05,False
0.0,15.999988555908203,-11.0625,1.5689549400121905e-05,False
0.0,15.999988555908203,-10.5625,2.586742994026281e-05,False
0.0,15.999984741210938,-10.0,4.539786823443137e-05,False
0.0,15.999987602233887,-9.875,5.144220995134674e-05,False
0.0,15.99998664855957,-8.875,0.00013982206291984767,False
0.0,15.999995231628418,7.71875,0.999555766582489,True
0.0,15.999987602233887,-10.1875,3.7636447814293206e-05,False
0.0,15.99998664855957,-10.375,3.1201914680423215e-05,False
0.0,15.999981880187988,-4.84375,0.007815888151526451,False
0.0,15.999992370605469,-11.0625,1.5689549400121905e-05,False
0.0,15.999993324279785,-11.5625,9.516251338936854e-06,False
0.0,15.999991416931152,-10.375,3.1201914680423215e-05,False
0.0,15.999991416931152,-12.0625,5.771919859398622e-06,False
0.0,15.999992370605469,-7.59375,0.000503335555549711,False
0.0,15.999992370605469,-9.5,7.484622619813308e-05,False
0.0,15.999988555908203,-9.4375,7.9673009167891e-05,False
0.0,15.99998664855957,-9.6875,6.205049430718645e-05,False
